Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,26.136551,27.602512,26.125391,27.365599,27.365599,67748297
2022-06-07,27.367352,27.409201,25.288294,27.064854,27.064854,98161552
2022-06-08,27.071426,28.385775,26.501118,28.129723,28.129723,98967381
2022-06-09,28.131201,29.056452,27.978416,28.535330,28.535330,78732158
2022-06-10,28.533640,28.646496,27.391893,27.584509,27.584509,66138535
2022-06-11,27.586653,28.043524,26.623451,27.399063,27.399063,72285669
2022-06-12,27.407042,29.268192,26.672857,28.092585,28.092585,155162943
2022-06-13,28.083141,28.083141,23.948427,24.445301,24.445301,246822186
2022-06-14,24.441217,24.618813,22.456957,24.025034,24.025034,167885736
2022-06-15,24.018385,25.492008,21.154949,25.492008,25.492008,175593699
2022-06-16,25.492384,25.842943,23.035055,23.262043,23.262043,97884414
2022-06-17,23.263720,25.011318,23.194416,24.350458,24.350458,61006610
2022-06-18,24.347244,24.692301,21.176497,22.830355,22.830355,78110609
2022-06-19,22.827951,25.353254,21.741926,25.034378,25.034378,82254305
2022-06-20,25.034580,26.846626,24.043329,26.705500,26.705500,113353662
2022-06-21,26.705406,28.097338,26.431259,27.338177,27.338177,96667837
2022-06-22,27.343405,27.371281,25.153627,25.205490,25.205490,88111964
2022-06-23,25.205324,26.405239,25.143427,26.331264,26.331264,72644447
2022-06-24,26.326010,27.067488,25.444574,26.730804,26.730804,76694895
2022-06-25,26.735399,27.941387,26.233824,27.927027,27.927027,105540678
2022-06-26,27.915394,28.879587,27.143999,27.153599,27.153599,82649675
2022-06-27,27.152966,28.025267,26.705921,27.162960,27.162960,84106910
2022-06-28,27.156797,27.744324,25.594242,25.634581,25.634581,93118456
2022-06-29,25.633982,25.840637,24.730011,24.829021,24.829021,81568848
2022-06-30,24.841805,24.916962,23.131845,24.532661,24.532661,88064137
2022-07-01,24.560425,25.416542,24.087397,24.556309,24.556309,95724750
2022-07-02,24.567911,24.764734,24.128885,24.626202,24.626202,41676929
2022-07-03,24.622931,24.630707,23.794577,24.373482,24.373482,54348144
2022-07-04,24.373400,25.973682,23.965570,25.922417,25.922417,69397271
2022-07-05,25.919872,26.170179,24.467899,25.191893,25.191893,89704771
2022-07-06,25.195396,26.436214,24.829447,26.265272,26.265272,97487606
2022-07-07,26.265474,27.706869,25.975954,27.459190,27.459190,107524576
2022-07-08,27.460873,28.150976,26.886417,27.465851,27.465851,109750662
2022-07-09,27.461308,27.601633,27.091740,27.136015,27.136015,48904583
2022-07-10,27.134176,27.134176,25.657450,25.899834,25.899834,49195211
2022-07-11,25.894363,25.908709,24.876360,24.996655,24.996655,61693788
2022-07-12,25.005943,25.072617,23.874260,23.882856,23.882856,53637510
2022-07-13,23.889954,24.967253,23.299326,24.967253,24.967253,73655513
2022-07-14,24.965506,26.157761,24.484211,25.852545,25.852545,77248758
2022-07-15,25.855934,27.277105,25.679691,26.787561,26.787561,71863746
2022-07-16,26.789223,28.354712,26.382488,27.969622,27.969622,69694217
2022-07-17,27.973551,28.714205,27.556852,27.606333,27.606333,65650963
2022-07-18,27.595198,29.966557,27.595198,29.966557,29.966557,118772336
2022-07-19,29.953419,30.182541,28.097233,29.127872,29.127872,141368235
2022-07-20,29.128590,30.183500,28.652414,28.783527,28.783527,95532757
2022-07-21,28.784845,29.609291,27.872391,29.502356,29.502356,67721043
2022-07-22,29.499893,30.458797,28.777412,28.977259,28.977259,102499338
2022-07-23,28.970234,29.693298,27.941299,28.537912,28.537912,76240819
2022-07-24,28.539843,29.694538,28.403532,29.144608,29.144608,68046800
2022-07-25,29.142014,29.243608,27.089233,27.110455,27.110455,87411008
2022-07-26,27.083229,27.083229,26.034079,27.025290,27.025290,76045176
2022-07-27,27.031164,29.407394,26.703390,29.398602,29.398602,97716645
2022-07-28,29.404469,30.669086,28.759457,30.247143,30.247143,98348029
2022-07-29,30.246559,31.537634,29.922546,31.133444,31.133444,112920073
2022-07-30,31.131821,32.365139,30.824471,30.964617,30.964617,101953470
2022-07-31,30.974590,31.601934,30.367830,30.406401,30.406401,69950678
2022-08-01,30.408262,30.909773,29.886595,30.815550,30.815550,76274492
2022-08-02,30.802187,30.948421,28.868019,29.413042,29.413042,98206781
2022-08-03,29.418495,29.973162,28.776510,29.112059,29.112059,63183501
2022-08-04,29.113600,29.640297,28.813465,29.139004,29.139004,53644103
2022-08-05,29.134556,30.754532,29.112679,30.749504,30.749504,79943022
2022-08-06,30.751520,30.874426,30.406246,30.415552,30.415552,45753752
2022-08-07,30.418678,30.995100,30.145287,30.668131,30.668131,37216077
2022-08-08,30.669788,32.104439,30.416418,31.485470,31.485470,73993073
2022-08-09,31.488297,31.579193,29.515566,29.901640,29.901640,372568926
2022-08-10,29.892481,31.542883,29.232262,31.348621,31.348621,366699091
2022-08-11,31.349314,32.595173,30.400230,30.527246,30.527246,478916955
2022-08-12,30.526028,31.222939,30.018934,31.217419,31.217419,323806658
2022-08-13,31.215061,31.861338,31.144333,31.314772,31.314772,307973186
2022-08-14,31.320719,31.949957,30.710695,30.868513,30.868513,284540390
2022-08-15,30.856800,31.862286,30.246799,30.904863,30.904863,347039125
2022-08-16,30.879332,31.087011,30.419365,30.706470,30.706470,326789460
2022-08-17,30.698711,31.450640,30.022015,30.085190,30.085190,325561107
2022-08-18,30.086954,30.521608,29.847155,29.920351,29.920351,308200496
2022-08-19,29.923714,29.951351,26.402771,26.437702,26.437702,361184582
2022-08-20,26.434473,27.222397,26.244488,26.732441,26.732441,308601163
2022-08-21,26.723522,27.907602,26.711370,27.720371,27.720371,337419106
2022-08-22,27.719240,27.740349,26.548267,27.719509,27.719509,319620502
2022-08-23,27.724951,27.972828,26.951796,27.791380,27.791380,271248919
2022-08-24,27.789394,28.031458,27.258093,27.560341,27.560341,240868400
2022-08-25,27.560480,28.262712,27.560480,27.966484,27.966484,242736431
2022-08-26,27.961491,28.082050,25.845749,25.956457,25.956457,288373686
2022-08-27,25.953144,26.074118,25.499678,25.804186,25.804186,281599137
2022-08-28,25.802376,26.066641,25.228682,25.413280,25.413280,253230056
2022-08-29,25.411261,27.386162,25.370708,27.352102,27.352102,285371480
2022-08-30,27.352058,27.681019,26.077560,26.551468,26.551468,305951055
2022-08-31,26.559677,27.713699,26.507694,26.672752,26.672752,295342037
2022-09-01,26.678251,26.969408,26.141308,26.902620,26.902620,269455003
2022-09-02,26.900862,27.152861,26.087332,26.292683,26.292683,241844176
2022-09-03,26.291153,26.409092,25.980076,26.196413,26.196413,249770852
2022-09-04,26.197687,26.396505,25.914434,26.387512,26.387512,234120296
2022-09-05,26.389942,26.654833,25.980425,26.607315,26.607315,228934788
2022-09-06,26.612431,27.115696,25.450420,25.690224,25.690224,287494152
2022-09-07,25.681683,26.379646,25.088160,26.004414,26.004414,87264848
2022-09-08,26.003424,26.208433,25.639685,26.045889,26.045889,65639615
